,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps
0,0,307664242,290333858,1,5,12,2022-01-01 05:12:00,"[307664242, 307664257, 290333858]",2022-01-01 05:13:27.500,87.5,"{307664242: '2022-01-01 05:12:00', 307664257: '2022-01-01 05:12:43', 290333858: '2022-01-01 05:13:27'}"
1,1,280324485,306225115,1,9,37,2022-01-01 09:37:00,"[280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115]",2022-01-01 09:41:39.900,279.9,"{280324485: '2022-01-01 09:37:00', 307662889: '2022-01-01 09:37:34', 307662284: '2022-01-01 09:38:09', 309450366: '2022-01-01 09:38:44', 307662242: '2022-01-01 09:39:19', 306222128: '2022-01-01 09:39:54', 306222385: '2022-01-01 09:40:29', 306221900: '2022-01-01 09:41:04', 306225115: '2022-01-01 09:41:39'}"
2,2,306221807,291556214,1,9,32,2022-01-01 09:32:00,"[306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 297675884, 291556214]",2022-01-01 09:38:14.000,374.0,"{306221807: '2022-01-01 09:32:00', 306221765: '2022-01-01 09:32:23', 306225000: '2022-01-01 09:32:46', 306224552: '2022-01-01 09:33:10', 306225009: '2022-01-01 09:33:33', 306225011: '2022-01-01 09:33:56', 306225115: '2022-01-01 09:34:20', 306221900: '2022-01-01 09:34:43', 306222385: '2022-01-01 09:35:07', 306222128: '2022-01-01 09:35:30', 307662242: '2022-01-01 09:35:53', 309450366: '2022-01-01 09:36:17', 307662284: '2022-01-01 09:36:40', 307662889: '2022-01-01 09:37:03', 307663269: '2022-01-01 09:37:27', 297675884: '2022-01-01 09:37:50', 291556214: '2022-01-01 09:38:14'}"
3,3,306221765,307662889,1,16,9,2022-01-01 16:09:00,"[306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889]",2022-01-01 16:12:33.000,213.0,"{306221765: '2022-01-01 16:09:00', 306225000: '2022-01-01 16:09:19', 306221653: '2022-01-01 16:09:38', 306225011: '2022-01-01 16:09:58', 306225115: '2022-01-01 16:10:17', 306221900: '2022-01-01 16:10:36', 306222385: '2022-01-01 16:10:56', 306222128: '2022-01-01 16:11:15', 307662242: '2022-01-01 16:11:34', 309450366: '2022-01-01 16:11:54', 307662284: '2022-01-01 16:12:13', 307662889: '2022-01-01 16:12:33'}"
4,4,309441562,354863048,1,7,48,2022-01-01 07:48:00,"[309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 354863048]",2022-01-01 07:50:20.900,140.9,"{309441562: '2022-01-01 07:48:00', 309441547: '2022-01-01 07:48:11', 306221950: '2022-01-01 07:48:23', 399384843: '2022-01-01 07:48:35', 306221941: '2022-01-01 07:48:46', 306222676: '2022-01-01 07:48:58', 306221960: '2022-01-01 07:49:10', 306221900: '2022-01-01 07:49:22', 306222385: '2022-01-01 07:49:33', 306222128: '2022-01-01 07:49:45', 307662242: '2022-01-01 07:49:57', 309450366: '2022-01-01 07:50:09', 354863048: '2022-01-01 07:50:20'}"
5,5,308304288,1633571571,1,16,4,2022-01-01 16:04:00,"[308304288, 308304289, 306221804, 306221802, 306221807, 306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 309450229, 1633571571]",2022-01-01 16:06:23.800,143.8,"{308304288: '2022-01-01 16:04:00', 308304289: '2022-01-01 16:04:10', 306221804: '2022-01-01 16:04:20', 306221802: '2022-01-01 16:04:30', 306221807: '2022-01-01 16:04:41', 306221765: '2022-01-01 16:04:51', 306225000: '2022-01-01 16:05:01', 306221653: '2022-01-01 16:05:11', 306225011: '2022-01-01 16:05:22', 306225115: '2022-01-01 16:05:32', 306221900: '2022-01-01 16:05:42', 306222385: '2022-01-01 16:05:52', 306222128: '2022-01-01 16:06:03', 309450229: '2022-01-01 16:06:13', 1633571571: '2022-01-01 16:06:23'}"
6,6,1633571571,309450234,1,13,11,2022-01-01 13:11:00,"[1633571571, 354863308, 309450234]",2022-01-01 13:11:13.500,13.5,"{1633571571: '2022-01-01 13:11:00', 354863308: '2022-01-01 13:11:06', 309450234: '2022-01-01 13:11:13'}"
7,7,290333443,307664257,1,3,4,2022-01-01 03:04:00,"[290333443, 307664257]",2022-01-01 03:04:04.800,4.8,"{290333443: '2022-01-01 03:04:00', 307664257: '2022-01-01 03:04:04'}"
8,8,306224552,307662149,1,6,8,2022-01-01 06:08:00,"[306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149]",2022-01-01 06:09:55.500,115.5,"{306224552: '2022-01-01 06:08:00', 306225009: '2022-01-01 06:08:10', 306225011: '2022-01-01 06:08:21', 306225115: '2022-01-01 06:08:31', 306221900: '2022-01-01 06:08:42', 306222385: '2022-01-01 06:08:52', 306222128: '2022-01-01 06:09:03', 307662242: '2022-01-01 06:09:13', 309450366: '2022-01-01 06:09:24', 307662284: '2022-01-01 06:09:34', 307661801: '2022-01-01 06:09:45', 307662149: '2022-01-01 06:09:55'}"
9,9,280324491,306222385,1,17,23,2022-01-01 17:23:00,"[280324491, 280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385]",2022-01-01 17:27:38.000,278.0,"{280324491: '2022-01-01 17:23:00', 280324485: '2022-01-01 17:23:39', 307662889: '2022-01-01 17:24:19', 307662284: '2022-01-01 17:24:59', 309450366: '2022-01-01 17:25:38', 307662242: '2022-01-01 17:26:18', 306222128: '2022-01-01 17:26:58', 306222385: '2022-01-01 17:27:38'}"
