latitude,longitude
40.865843,-73.920068
40.856833,-73.92845
40.84932,-73.933739
40.847314,-73.935276
40.84162,-73.93929
40.832695,-73.945942
40.823817,-73.952542
40.815858,-73.958428
40.804122,-73.966553
40.799249,-73.962802
40.796024,-73.974976
40.783811,-73.979958
40.767742,-73.982283
40.746542,-74.001419
40.733504,-73.999523
40.751591,-74.015353
40.714982,-74.007919
40.706824,-74.005005
40.713949,-73.992566
40.719174,-73.99028
40.720724,-73.981157
40.734829,-73.979692
40.733338,-73.987256
40.739474,-73.982658
40.745638,-73.978039
40.751417,-73.976008
40.761184,-73.963959
40.768859,-73.958398
40.774256,-73.9573
40.769755,-73.960628
40.757609,-73.953674
40.77685,-73.949482
40.781704,-73.949063
40.787056,-73.941957
40.803209,-73.95248
40.804397,-73.937323
40.795536,-73.919686
40.815988,-73.93951
40.761683,-73.986559
40.763021,-73.974088
