,0
0,42445916
1,1692433919
2,42432985
3,42447132
4,42433066
5,42445867
6,3099327976
7,42444457
8,371188750
9,42428174
10,7490266268
11,42445357
12,42442415
13,42450820
14,42442937
15,42443534
16,42427769
17,42440798
18,42450025
19,3099327970
20,1825841704
21,42428980
22,42427863
23,42430253
24,370924957
25,42442475
26,42450468
27,561042199
28,42453934
29,42423774
30,42457401
31,561035358
32,595295501
33,4145735059
34,205024444
35,42424025
36,42445392
37,248708582
38,42440743
39,3579432156
40,42447105
41,595352904
42,42432889
43,42437644
44,42427968
45,9177424868
46,42446959
47,42429342
48,42435684
49,42430333
50,42433058
51,42430361
52,42446977
53,1061531596
54,370888100
55,42428863
56,42430375
57,5779545445
58,595314119
59,42443674
60,1919595922
61,42445018
62,42433422
63,42432856
64,596775930
65,371239958
66,42449029
67,42436486
68,42438809
69,370913758
