,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps,route_length,passenger_count,provider,total_price
0,0,307664242,290333858,1,19,2,2022-01-01 19:02:00,"[307664242, 307664257, 290333858]",2022-01-01 19:03:27.500,87.5,"{307664242: '2022-01-01 19:02:00', 307664257: '2022-01-01 19:02:43', 290333858: '2022-01-01 19:03:27'}",690.144652963043,3,3,3.3802893059260857
1,1,280324485,306225115,1,16,17,2022-01-01 16:17:00,"[280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115]",2022-01-01 16:21:39.900,279.9,"{280324485: '2022-01-01 16:17:00', 307662889: '2022-01-01 16:17:34', 307662284: '2022-01-01 16:18:09', 309450366: '2022-01-01 16:18:44', 307662242: '2022-01-01 16:19:19', 306222128: '2022-01-01 16:19:54', 306222385: '2022-01-01 16:20:29', 306221900: '2022-01-01 16:21:04', 306225115: '2022-01-01 16:21:39'}",2310.947052732372,1,2,4.450723264815215
2,2,306221807,291556214,1,1,57,2022-01-01 01:57:00,"[306221807, 306221765, 306225000, 306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 297675884, 291556214]",2022-01-01 02:03:14.000,374.0,"{306221807: '2022-01-01 01:57:00', 306221765: '2022-01-01 01:57:23', 306225000: '2022-01-01 01:57:46', 306224552: '2022-01-01 01:58:10', 306225009: '2022-01-01 01:58:33', 306225011: '2022-01-01 01:58:56', 306225115: '2022-01-01 01:59:20', 306221900: '2022-01-01 01:59:43', 306222385: '2022-01-01 02:00:07', 306222128: '2022-01-01 02:00:30', 307662242: '2022-01-01 02:00:53', 309450366: '2022-01-01 02:01:17', 307662284: '2022-01-01 02:01:40', 307662889: '2022-01-01 02:02:03', 307663269: '2022-01-01 02:02:27', 297675884: '2022-01-01 02:02:50', 291556214: '2022-01-01 02:03:14'}",3087.268410125026,3,2,4.450723264815215
3,3,306221765,307662889,1,1,42,2022-01-01 01:42:00,"[306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889]",2022-01-01 01:45:33.000,213.0,"{306221765: '2022-01-01 01:42:00', 306225000: '2022-01-01 01:42:19', 306221653: '2022-01-01 01:42:38', 306225011: '2022-01-01 01:42:58', 306225115: '2022-01-01 01:43:17', 306221900: '2022-01-01 01:43:36', 306222385: '2022-01-01 01:43:56', 306222128: '2022-01-01 01:44:15', 307662242: '2022-01-01 01:44:34', 309450366: '2022-01-01 01:44:54', 307662284: '2022-01-01 01:45:13', 307662889: '2022-01-01 01:45:33'}",1754.752709118349,4,1,5.690144652963043
4,4,309441562,354863048,1,10,31,2022-01-01 10:31:00,"[309441562, 309441547, 306221950, 399384843, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 307662242, 309450366, 354863048]",2022-01-01 10:33:20.900,140.9,"{309441562: '2022-01-01 10:31:00', 309441547: '2022-01-01 10:31:11', 306221950: '2022-01-01 10:31:23', 399384843: '2022-01-01 10:31:35', 306221941: '2022-01-01 10:31:46', 306222676: '2022-01-01 10:31:58', 306221960: '2022-01-01 10:32:10', 306221900: '2022-01-01 10:32:22', 306222385: '2022-01-01 10:32:33', 306222128: '2022-01-01 10:32:45', 307662242: '2022-01-01 10:32:57', 309450366: '2022-01-01 10:33:09', 354863048: '2022-01-01 10:33:20'}",1164.6096777242192,2,2,4.450723264815215
5,5,308304288,1633571571,1,13,50,2022-01-01 13:50:00,"[308304288, 308304289, 306221804, 306221802, 306221807, 306221765, 306225000, 306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 309450229, 1633571571]",2022-01-01 13:52:23.800,143.8,"{308304288: '2022-01-01 13:50:00', 308304289: '2022-01-01 13:50:10', 306221804: '2022-01-01 13:50:20', 306221802: '2022-01-01 13:50:30', 306221807: '2022-01-01 13:50:41', 306221765: '2022-01-01 13:50:51', 306225000: '2022-01-01 13:51:01', 306221653: '2022-01-01 13:51:11', 306225011: '2022-01-01 13:51:22', 306225115: '2022-01-01 13:51:32', 306221900: '2022-01-01 13:51:42', 306222385: '2022-01-01 13:51:52', 306222128: '2022-01-01 13:52:03', 309450229: '2022-01-01 13:52:13', 1633571571: '2022-01-01 13:52:23'}",1183.9794638623157,4,2,4.450723264815215
6,6,1633571571,309450234,1,16,44,2022-01-01 16:44:00,"[1633571571, 354863308, 309450234]",2022-01-01 16:44:13.500,13.5,"{1633571571: '2022-01-01 16:44:00', 354863308: '2022-01-01 16:44:06', 309450234: '2022-01-01 16:44:13'}",112.63192886165075,4,3,3.3802893059260857
7,7,290333443,307664257,1,15,45,2022-01-01 15:45:00,"[290333443, 307664257]",2022-01-01 15:45:04.800,4.8,"{290333443: '2022-01-01 15:45:00', 307664257: '2022-01-01 15:45:04'}",40.36960381663402,1,2,4.450723264815215
8,8,306224552,307662149,1,21,19,2022-01-01 21:19:00,"[306224552, 306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307661801, 307662149]",2022-01-01 21:20:55.500,115.5,"{306224552: '2022-01-01 21:19:00', 306225009: '2022-01-01 21:19:10', 306225011: '2022-01-01 21:19:21', 306225115: '2022-01-01 21:19:31', 306221900: '2022-01-01 21:19:42', 306222385: '2022-01-01 21:19:52', 306222128: '2022-01-01 21:20:03', 307662242: '2022-01-01 21:20:13', 309450366: '2022-01-01 21:20:24', 307662284: '2022-01-01 21:20:34', 307661801: '2022-01-01 21:20:45', 307662149: '2022-01-01 21:20:55'}",952.433927238868,3,2,4.450723264815215
9,9,280324491,306222385,1,2,22,2022-01-01 02:22:00,"[280324491, 280324485, 307662889, 307662284, 309450366, 307662242, 306222128, 306222385]",2022-01-01 02:26:38.000,278.0,"{280324491: '2022-01-01 02:22:00', 280324485: '2022-01-01 02:22:39', 307662889: '2022-01-01 02:23:19', 307662284: '2022-01-01 02:23:59', 309450366: '2022-01-01 02:24:38', 307662242: '2022-01-01 02:25:18', 306222128: '2022-01-01 02:25:58', 306222385: '2022-01-01 02:26:38'}",2292.726717750617,4,3,3.3802893059260857
