,0
0,595314119
1,42443674
2,42430333
3,4145735059
4,42427863
5,42428863
6,42438809
7,42453934
8,42427769
9,42443534
10,42427968
11,3099327970
12,42430253
13,42436486
14,42445357
15,42432856
16,42449029
17,42457401
18,596775930
19,42442937
20,1061531596
21,42432889
22,371239958
23,42450468
24,561035358
25,42429342
26,42430375
27,42428980
28,42424025
29,370924957
30,42445392
31,42445867
32,42440798
33,42433422
34,42445018
35,5779545445
36,42450025
37,561042199
38,42445916
39,42442475
40,42446977
41,42433058
42,7490266268
43,595295501
44,1692433919
45,595352904
46,3579432156
47,42440743
48,42423774
49,370913758
50,248708582
51,42444457
52,370888100
53,1919595922
54,42433066
55,205024444
56,3099327976
57,42430361
58,42432985
59,9177424868
60,42442415
61,371188750
62,42446959
63,42447132
64,42447105
65,42428174
66,1825841704
67,42450820
68,42435684
69,42437644
