,Pickup Square,Dropoff Square,Pickup Time,Pickup Hour,Pickup Minute,Pickup Weekday,Pickup Coordinates,Dropoff Coordinates,Manhattan Distance,Paths,Path Timestamp
0,24,55,2021-01-01 15:45:00,3,45,3,"(4, 2)","(5, 5)",4,"[[4, 2], [5, 2], [5, 3], [5, 4], [5, 5]]","{(4, 2): '2021-01-01 15:45:00', (5, 2): '2021-01-01 15:46:00', (5, 3): '2021-01-01 15:47:00', (5, 4): '2021-01-01 15:48:00', (5, 5): '2021-01-01 15:49:00'}"
1,6,2,2021-01-02 04:31:00,16,31,3,"(6, 0)","(2, 0)",4,"[[6, 0], [5, 0], [4, 0], [3, 0], [2, 0]]","{(6, 0): '2021-01-02 04:31:00', (5, 0): '2021-01-02 04:32:00', (4, 0): '2021-01-02 04:33:00', (3, 0): '2021-01-02 04:34:00', (2, 0): '2021-01-02 04:35:00'}"
2,15,78,2021-01-01 15:59:00,3,59,1,"(5, 1)","(8, 7)",9,"[[5, 1], [6, 1], [7, 1], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","{(5, 1): '2021-01-01 15:59:00', (6, 1): '2021-01-01 16:00:00', (7, 1): '2021-01-01 16:01:00', (8, 1): '2021-01-01 16:02:00', (8, 2): '2021-01-01 16:03:00', (8, 3): '2021-01-01 16:04:00', (8, 4): '2021-01-01 16:05:00', (8, 5): '2021-01-01 16:06:00', (8, 6): '2021-01-01 16:07:00', (8, 7): '2021-01-01 16:08:00'}"
3,14,36,2021-01-02 01:49:00,13,49,0,"(4, 1)","(6, 3)",4,"[[4, 1], [5, 1], [6, 1], [6, 2], [6, 3]]","{(4, 1): '2021-01-02 01:49:00', (5, 1): '2021-01-02 01:50:00', (6, 1): '2021-01-02 01:51:00', (6, 2): '2021-01-02 01:52:00', (6, 3): '2021-01-02 01:53:00'}"
4,46,91,2021-01-01 18:28:00,6,28,3,"(6, 4)","(1, 9)",10,"[[6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9]]","{(6, 4): '2021-01-01 18:28:00', (5, 4): '2021-01-01 18:29:00', (4, 4): '2021-01-01 18:30:00', (3, 4): '2021-01-01 18:31:00', (2, 4): '2021-01-01 18:32:00', (1, 4): '2021-01-01 18:33:00', (1, 5): '2021-01-01 18:34:00', (1, 6): '2021-01-01 18:35:00', (1, 7): '2021-01-01 18:36:00', (1, 8): '2021-01-01 18:37:00', (1, 9): '2021-01-01 18:38:00'}"
5,34,44,2021-01-02 11:37:00,23,37,1,"(4, 3)","(4, 4)",1,"[[4, 3], [4, 4]]","{(4, 3): '2021-01-02 11:37:00', (4, 4): '2021-01-02 11:38:00'}"
6,74,7,2021-01-02 10:57:00,22,57,3,"(4, 7)","(7, 0)",10,"[[4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0]]","{(4, 7): '2021-01-02 10:57:00', (5, 7): '2021-01-02 10:58:00', (6, 7): '2021-01-02 10:59:00', (7, 7): '2021-01-02 11:00:00', (7, 6): '2021-01-02 11:01:00', (7, 5): '2021-01-02 11:02:00', (7, 4): '2021-01-02 11:03:00', (7, 3): '2021-01-02 11:04:00', (7, 2): '2021-01-02 11:05:00', (7, 1): '2021-01-02 11:06:00', (7, 0): '2021-01-02 11:07:00'}"
7,51,80,2021-01-02 02:45:00,14,45,5,"(1, 5)","(0, 8)",4,"[[1, 5], [0, 5], [0, 6], [0, 7], [0, 8]]","{(1, 5): '2021-01-02 02:45:00', (0, 5): '2021-01-02 02:46:00', (0, 6): '2021-01-02 02:47:00', (0, 7): '2021-01-02 02:48:00', (0, 8): '2021-01-02 02:49:00'}"
8,17,26,2021-01-01 20:35:00,8,35,1,"(7, 1)","(6, 2)",2,"[[7, 1], [6, 1], [6, 2]]","{(7, 1): '2021-01-01 20:35:00', (6, 1): '2021-01-01 20:36:00', (6, 2): '2021-01-01 20:37:00'}"
9,57,95,2021-01-01 16:09:00,4,9,2,"(7, 5)","(5, 9)",6,"[[7, 5], [6, 5], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9]]","{(7, 5): '2021-01-01 16:09:00', (6, 5): '2021-01-01 16:10:00', (5, 5): '2021-01-01 16:11:00', (5, 6): '2021-01-01 16:12:00', (5, 7): '2021-01-01 16:13:00', (5, 8): '2021-01-01 16:14:00', (5, 9): '2021-01-01 16:15:00'}"
10,4,54,2021-01-01 22:32:00,10,32,0,"(4, 0)","(4, 5)",5,"[[4, 0], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5]]","{(4, 0): '2021-01-01 22:32:00', (4, 1): '2021-01-01 22:33:00', (4, 2): '2021-01-01 22:34:00', (4, 3): '2021-01-01 22:35:00', (4, 4): '2021-01-01 22:36:00', (4, 5): '2021-01-01 22:37:00'}"
11,31,77,2021-01-01 13:08:00,1,8,6,"(1, 3)","(7, 7)",10,"[[1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7]]","{(1, 3): '2021-01-01 13:08:00', (2, 3): '2021-01-01 13:09:00', (3, 3): '2021-01-01 13:10:00', (4, 3): '2021-01-01 13:11:00', (5, 3): '2021-01-01 13:12:00', (6, 3): '2021-01-01 13:13:00', (7, 3): '2021-01-01 13:14:00', (7, 4): '2021-01-01 13:15:00', (7, 5): '2021-01-01 13:16:00', (7, 6): '2021-01-01 13:17:00', (7, 7): '2021-01-01 13:18:00'}"
12,2,69,2021-01-02 11:11:00,23,11,4,"(2, 0)","(9, 6)",13,"[[2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [9, 1], [9, 2], [9, 3], [9, 4], [9, 5], [9, 6]]","{(2, 0): '2021-01-02 11:11:00', (3, 0): '2021-01-02 11:12:00', (4, 0): '2021-01-02 11:13:00', (5, 0): '2021-01-02 11:14:00', (6, 0): '2021-01-02 11:15:00', (7, 0): '2021-01-02 11:16:00', (8, 0): '2021-01-02 11:17:00', (9, 0): '2021-01-02 11:18:00', (9, 1): '2021-01-02 11:19:00', (9, 2): '2021-01-02 11:20:00', (9, 3): '2021-01-02 11:21:00', (9, 4): '2021-01-02 11:22:00', (9, 5): '2021-01-02 11:23:00', (9, 6): '2021-01-02 11:24:00'}"
13,66,70,2021-01-02 01:50:00,13,50,3,"(6, 6)","(0, 7)",7,"[[6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [1, 6], [0, 6], [0, 7]]","{(6, 6): '2021-01-02 01:50:00', (5, 6): '2021-01-02 01:51:00', (4, 6): '2021-01-02 01:52:00', (3, 6): '2021-01-02 01:53:00', (2, 6): '2021-01-02 01:54:00', (1, 6): '2021-01-02 01:55:00', (0, 6): '2021-01-02 01:56:00', (0, 7): '2021-01-02 01:57:00'}"
14,13,76,2021-01-01 22:35:00,10,35,3,"(3, 1)","(6, 7)",9,"[[3, 1], [4, 1], [5, 1], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7]]","{(3, 1): '2021-01-01 22:35:00', (4, 1): '2021-01-01 22:36:00', (5, 1): '2021-01-01 22:37:00', (6, 1): '2021-01-01 22:38:00', (6, 2): '2021-01-01 22:39:00', (6, 3): '2021-01-01 22:40:00', (6, 4): '2021-01-01 22:41:00', (6, 5): '2021-01-01 22:42:00', (6, 6): '2021-01-01 22:43:00', (6, 7): '2021-01-01 22:44:00'}"
15,15,78,2021-01-02 00:30:00,12,30,0,"(5, 1)","(8, 7)",9,"[[5, 1], [6, 1], [7, 1], [8, 1], [8, 2], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7]]","{(5, 1): '2021-01-02 00:30:00', (6, 1): '2021-01-02 00:31:00', (7, 1): '2021-01-02 00:32:00', (8, 1): '2021-01-02 00:33:00', (8, 2): '2021-01-02 00:34:00', (8, 3): '2021-01-02 00:35:00', (8, 4): '2021-01-02 00:36:00', (8, 5): '2021-01-02 00:37:00', (8, 6): '2021-01-02 00:38:00', (8, 7): '2021-01-02 00:39:00'}"
16,22,82,2021-01-01 18:05:00,6,5,1,"(2, 2)","(2, 8)",6,"[[2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","{(2, 2): '2021-01-01 18:05:00', (2, 3): '2021-01-01 18:06:00', (2, 4): '2021-01-01 18:07:00', (2, 5): '2021-01-01 18:08:00', (2, 6): '2021-01-01 18:09:00', (2, 7): '2021-01-01 18:10:00', (2, 8): '2021-01-01 18:11:00'}"
17,29,58,2021-01-02 02:16:00,14,16,2,"(9, 2)","(8, 5)",4,"[[9, 2], [8, 2], [8, 3], [8, 4], [8, 5]]","{(9, 2): '2021-01-02 02:16:00', (8, 2): '2021-01-02 02:17:00', (8, 3): '2021-01-02 02:18:00', (8, 4): '2021-01-02 02:19:00', (8, 5): '2021-01-02 02:20:00'}"
18,94,21,2021-01-02 09:31:00,21,31,6,"(4, 9)","(1, 2)",10,"[[4, 9], [3, 9], [2, 9], [1, 9], [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [1, 2]]","{(4, 9): '2021-01-02 09:31:00', (3, 9): '2021-01-02 09:32:00', (2, 9): '2021-01-02 09:33:00', (1, 9): '2021-01-02 09:34:00', (1, 8): '2021-01-02 09:35:00', (1, 7): '2021-01-02 09:36:00', (1, 6): '2021-01-02 09:37:00', (1, 5): '2021-01-02 09:38:00', (1, 4): '2021-01-02 09:39:00', (1, 3): '2021-01-02 09:40:00', (1, 2): '2021-01-02 09:41:00'}"
19,45,93,2021-01-02 07:58:00,19,58,2,"(5, 4)","(3, 9)",7,"[[5, 4], [4, 4], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]","{(5, 4): '2021-01-02 07:58:00', (4, 4): '2021-01-02 07:59:00', (3, 4): '2021-01-02 08:00:00', (3, 5): '2021-01-02 08:01:00', (3, 6): '2021-01-02 08:02:00', (3, 7): '2021-01-02 08:03:00', (3, 8): '2021-01-02 08:04:00', (3, 9): '2021-01-02 08:05:00'}"
20,38,10,2021-01-02 00:42:00,12,42,2,"(8, 3)","(0, 1)",10,"[[8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3], [0, 3], [0, 2], [0, 1]]","{(8, 3): '2021-01-02 00:42:00', (7, 3): '2021-01-02 00:43:00', (6, 3): '2021-01-02 00:44:00', (5, 3): '2021-01-02 00:45:00', (4, 3): '2021-01-02 00:46:00', (3, 3): '2021-01-02 00:47:00', (2, 3): '2021-01-02 00:48:00', (1, 3): '2021-01-02 00:49:00', (0, 3): '2021-01-02 00:50:00', (0, 2): '2021-01-02 00:51:00', (0, 1): '2021-01-02 00:52:00'}"
21,96,79,2021-01-02 10:50:00,22,50,1,"(6, 9)","(9, 7)",5,"[[6, 9], [7, 9], [8, 9], [9, 9], [9, 8], [9, 7]]","{(6, 9): '2021-01-02 10:50:00', (7, 9): '2021-01-02 10:51:00', (8, 9): '2021-01-02 10:52:00', (9, 9): '2021-01-02 10:53:00', (9, 8): '2021-01-02 10:54:00', (9, 7): '2021-01-02 10:55:00'}"
22,28,40,2021-01-01 19:42:00,7,42,4,"(8, 2)","(0, 4)",10,"[[8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [0, 2], [0, 3], [0, 4]]","{(8, 2): '2021-01-01 19:42:00', (7, 2): '2021-01-01 19:43:00', (6, 2): '2021-01-01 19:44:00', (5, 2): '2021-01-01 19:45:00', (4, 2): '2021-01-01 19:46:00', (3, 2): '2021-01-01 19:47:00', (2, 2): '2021-01-01 19:48:00', (1, 2): '2021-01-01 19:49:00', (0, 2): '2021-01-01 19:50:00', (0, 3): '2021-01-01 19:51:00', (0, 4): '2021-01-01 19:52:00'}"
23,96,61,2021-01-01 19:13:00,7,13,1,"(6, 9)","(1, 6)",8,"[[6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [1, 9], [1, 8], [1, 7], [1, 6]]","{(6, 9): '2021-01-01 19:13:00', (5, 9): '2021-01-01 19:14:00', (4, 9): '2021-01-01 19:15:00', (3, 9): '2021-01-01 19:16:00', (2, 9): '2021-01-01 19:17:00', (1, 9): '2021-01-01 19:18:00', (1, 8): '2021-01-01 19:19:00', (1, 7): '2021-01-01 19:20:00', (1, 6): '2021-01-01 19:21:00'}"
24,79,68,2021-01-01 20:47:00,8,47,4,"(9, 7)","(8, 6)",2,"[[9, 7], [8, 7], [8, 6]]","{(9, 7): '2021-01-01 20:47:00', (8, 7): '2021-01-01 20:48:00', (8, 6): '2021-01-01 20:49:00'}"
