,tripid,pickup_node,dropoff_node,pickup_day,pickup_hour,pickup_minute,pickup_datetime,route,dropoff_datetime,trip_duration,node_timestamps
0,0,307662238,306225009,1,21,5,2022-01-01 21:05:00,"[307662238, 354863308, 1633571571, 309450229, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009]",2022-01-01 21:06:17.100,77.1,"{307662238: '2022-01-01 21:05:00', 354863308: '2022-01-01 21:05:08', 1633571571: '2022-01-01 21:05:17', 309450229: '2022-01-01 21:05:25', 306222128: '2022-01-01 21:05:34', 306222385: '2022-01-01 21:05:42', 306221900: '2022-01-01 21:05:51', 306225115: '2022-01-01 21:05:59', 306225011: '2022-01-01 21:06:08', 306225009: '2022-01-01 21:06:17'}"
1,1,306222676,1479963453,1,6,19,2022-01-01 06:19:00,"[306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562, 1479963453]",2022-01-01 06:21:34.200,154.2,"{306222676: '2022-01-01 06:19:00', 306221941: '2022-01-01 06:19:22', 399384843: '2022-01-01 06:19:44', 306221950: '2022-01-01 06:20:06', 309441547: '2022-01-01 06:20:28', 309441548: '2022-01-01 06:20:50', 309441562: '2022-01-01 06:21:12', 1479963453: '2022-01-01 06:21:34'}"
2,2,309441547,306221950,1,6,59,2022-01-01 06:59:00,"[309441547, 306221950]",2022-01-01 06:59:49.200,49.2,"{309441547: '2022-01-01 06:59:00', 306221950: '2022-01-01 06:59:49'}"
3,3,306222128,307664257,1,22,0,2022-01-01 22:00:00,"[306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 22:04:25.600,265.6,"{306222128: '2022-01-01 22:00:00', 307662242: '2022-01-01 22:00:29', 309450366: '2022-01-01 22:00:59', 307662284: '2022-01-01 22:01:28', 307662889: '2022-01-01 22:01:58', 307663269: '2022-01-01 22:02:27', 304525639: '2022-01-01 22:02:57', 290333444: '2022-01-01 22:03:26', 290333443: '2022-01-01 22:03:56', 307664257: '2022-01-01 22:04:25'}"
4,4,306226719,1479963453,1,11,51,2022-01-01 11:51:00,"[306226719, 309450229, 306222128, 306222385, 306221900, 306221960, 306222676, 306221941, 399384843, 306221950, 309441547, 309441548, 309441562, 1479963453]",2022-01-01 11:54:05.800,185.8,"{306226719: '2022-01-01 11:51:00', 309450229: '2022-01-01 11:51:14', 306222128: '2022-01-01 11:51:28', 306222385: '2022-01-01 11:51:42', 306221900: '2022-01-01 11:51:57', 306221960: '2022-01-01 11:52:11', 306222676: '2022-01-01 11:52:25', 306221941: '2022-01-01 11:52:40', 399384843: '2022-01-01 11:52:54', 306221950: '2022-01-01 11:53:08', 309441547: '2022-01-01 11:53:22', 309441548: '2022-01-01 11:53:37', 309441562: '2022-01-01 11:53:51', 1479963453: '2022-01-01 11:54:05'}"
5,5,2586413037,306226719,1,5,3,2022-01-01 05:03:00,"[2586413037, 306221941, 306222676, 306221960, 306221900, 306222385, 306222128, 309450229, 306226719]",2022-01-01 05:03:57.000,57.0,"{2586413037: '2022-01-01 05:03:00', 306221941: '2022-01-01 05:03:07', 306222676: '2022-01-01 05:03:14', 306221960: '2022-01-01 05:03:21', 306221900: '2022-01-01 05:03:28', 306222385: '2022-01-01 05:03:35', 306222128: '2022-01-01 05:03:42', 309450229: '2022-01-01 05:03:49', 306226719: '2022-01-01 05:03:57'}"
6,6,306225009,307664257,1,4,57,2022-01-01 04:57:00,"[306225009, 306225011, 306225115, 306221900, 306222385, 306222128, 307662242, 309450366, 307662284, 307662889, 307663269, 304525639, 290333444, 290333443, 307664257]",2022-01-01 05:02:13.000,313.0,"{306225009: '2022-01-01 04:57:00', 306225011: '2022-01-01 04:57:22', 306225115: '2022-01-01 04:57:44', 306221900: '2022-01-01 04:58:07', 306222385: '2022-01-01 04:58:29', 306222128: '2022-01-01 04:58:51', 307662242: '2022-01-01 04:59:14', 309450366: '2022-01-01 04:59:36', 307662284: '2022-01-01 04:59:58', 307662889: '2022-01-01 05:00:21', 307663269: '2022-01-01 05:00:43', 304525639: '2022-01-01 05:01:05', 290333444: '2022-01-01 05:01:28', 290333443: '2022-01-01 05:01:50', 307664257: '2022-01-01 05:02:13'}"
7,7,309441548,308304289,1,3,46,2022-01-01 03:46:00,"[309441548, 308304289]",2022-01-01 03:47:32.900,92.9,"{309441548: '2022-01-01 03:46:00', 308304289: '2022-01-01 03:47:32'}"
8,8,307661801,306225000,1,6,40,2022-01-01 06:40:00,"[307661801, 307662284, 309450366, 307662242, 306222128, 306222385, 306221900, 306225115, 306225011, 306225009, 306224552, 306225000]",2022-01-01 06:41:50.700,110.7,"{307661801: '2022-01-01 06:40:00', 307662284: '2022-01-01 06:40:10', 309450366: '2022-01-01 06:40:20', 307662242: '2022-01-01 06:40:30', 306222128: '2022-01-01 06:40:40', 306222385: '2022-01-01 06:40:50', 306221900: '2022-01-01 06:41:00', 306225115: '2022-01-01 06:41:10', 306225011: '2022-01-01 06:41:20', 306225009: '2022-01-01 06:41:30', 306224552: '2022-01-01 06:41:40', 306225000: '2022-01-01 06:41:50'}"
9,9,306221653,354863308,1,3,51,2022-01-01 03:51:00,"[306221653, 306225011, 306225115, 306221900, 306222385, 306222128, 309450229, 1633571571, 354863308]",2022-01-01 03:52:11.500,71.5,"{306221653: '2022-01-01 03:51:00', 306225011: '2022-01-01 03:51:08', 306225115: '2022-01-01 03:51:17', 306221900: '2022-01-01 03:51:26', 306222385: '2022-01-01 03:51:35', 306222128: '2022-01-01 03:51:44', 309450229: '2022-01-01 03:51:53', 1633571571: '2022-01-01 03:52:02', 354863308: '2022-01-01 03:52:11'}"
